id,X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
447,5,19,79,70,90,1,0.894427190999916,1.54919333848297,20008,4512,17185,105.913171985358,150.875113918764,3691.41364520423
448,5,16,79,65,89,1.22474487139159,0.894427190999916,1.14017542509914,17166,2270,12385,197.039843686499,174.945991666,224.187421591846
449,5,12,70,69,85,0.447213595499958,0.547722557505166,1.18321595661992,12598,5627,10575,170.661653572207,146.099623545032,254.704731012206
450,7,10,78,72,73,1.26491106406735,0.447213595499958,0.948683298050514,11525,6654,9143,233.758208412026,107.397392892006,256.16225326929
451,9,10,75,77,76,1.14017542509914,0.547722557505166,0.774596669241483,11178,8495,5330,126.179633855864,279.416713888056,87.4162456297455
452,8,11,82,77,83,1.04880884817015,0.948683298050514,0.836660026534076,13271,6607,7934,49.4843409575191,290.579077016911,138.091274163142
453,5,9,72,75,78,0.447213595499958,0.547722557505166,1.09544511501033,10622,9296,9950,147.569305751569,168.937858397696,162.572137834255
454,2,8,77,74,84,1.30384048104053,0.836660026534076,0.774596669241483,12283,6947,14108,262.828461168116,220.38511746486,196.431667508068
455,1,5,73,77,81,1.14017542509914,1.30384048104053,0.894427190999916,9043,11331,15289,105.520140257678,190.483857583786,118.758999658973
456,2,3,71,88,83,0.666666666666667,1.54919333848297,0.316227766016838,7327,14901,15651,212.229173824482,826.928654721796,194.996923052647
457,4,2,70,83,79,1.22474487139159,1.09544511501033,0.447213595499958,4326,13328,13514,176.800452488109,137.743965385058,127.435081512117
458,5,3,66,80,81,1.37840487520902,0.632455532033676,1.14017542509914,4906,13589,12100,229.528429611671,204.168312918533,132.484716099632
459,6.5,4,68,83,73,1.04880884817015,1.04880884817015,1.04880884817015,5203,13074,10685,238.746937153129,254.373937344218,169.503392296438
460,7,4,72,89,79,0.774596669241483,0.948683298050514,0.894427190999916,4264,13313,10747,145.025170229171,208.150426374773,181.08616733478
461,9,2,63,83,82,0,0.707106781186548,0.948683298050514,2022,18684,11256,122.46346393925,196.711718003783,308.263361429801
462,11,2,65,89,71,1.14017542509914,1.30384048104053,1.04880884817015,4402,17226,7985,101.878358840335,412.194614229735,121.299629018394
463,12,3,70,86,63,0.707106781186548,0.948683298050514,0.707106781186548,5038,19308,6463,295.784888052111,271.812803230459,34.0426203456784
464,12,4,69,88,64,1.18321595661992,1.14017542509914,0.836660026534076,5644,17031,5543,107.035508126976,152.659424864631,91.870016871665
465,13,5,77,86,61,0.774596669241483,0.547722557505166,1.14017542509914,6573,15192,4003,229.79860748055,107.880025954761,89.9549887443715
466,13,1,71,91,74,1.14017542509914,1.48323969741913,1.54919333848297,7141,18186,7644,600.639992008524,196.532694481096,229.71242891929
467,14,1,75,89,76,1.04880884817015,0.948683298050514,1,6301,19048,10644,393.349971399516,385.437413855998,139.967496226803
468,15,1,79,95,78,0.948683298050514,0.547722557505166,0.894427190999916,6939,21184,8658,172.709293322624,232.06270704273,261.51481793581
469,16,1,73,92,75,0.447213595499958,1.54919333848297,0.948683298050514,7358,21174,9766,161.508823288389,544.487832738253,191.594102205679
470,17,1,80,90,71,1.04880884817015,0.774596669241483,0.447213595499958,9248,20902,8842,189.922352554932,434.382435188165,223.33226367903
471,17,3,79,91,71,0.447213595499958,1.87082869338697,1.14017542509914,9089,19718,6740,269.383369939571,167.211542663777,144.592876726345
472,17,6,78,82,66,0.894427190999916,1,0.707106781186548,10555,17712,4205,168.812914197937,163.443874158685,166.670333293001
473,17.5,7,83,88,66,1.26491106406735,1.09544511501033,1.22474487139159,11977,18253,3403,207.688709370538,162.101511405662,191.197280315385
474,18,9,83,81,65,0.774596669241483,0.707106781186548,1.26491106406735,13948,16420,2301,281.010320095188,103.91631248269,173.977872156203
475,18,11,86,85,78,1.22474487139159,1,1.61245154965971,16146,16334,2052,408.01274489898,213.422116941989,114.486680447989
476,16,10.5,78,75,65,0.948683298050514,0.948683298050514,1.14017542509914,13385,14490,902,179.294171684414,200.802390424019,93.3332738095048
477,16,11,85,83,65,1.18321595661992,1.48323969741913,1.04880884817015,15511,14321,576,285.249715161996,114.001754372466,172.845885111564
478,12,9,78,84,73,1.22474487139159,0.948683298050514,0.894427190999916,10970,12020,2087,404.304959158307,171.272881683003,118.55673747198
479,11,8,75,89,67,0.632455532033676,0.316227766016838,0.836660026534076,9519,13997,4183,184.302197490969,981.029765093802,71.762106992479
480,10,7,77,83,66,0.836660026534076,0.948683298050514,0.948683298050514,7889,12597,4929,171.892699088705,361.462584509102,136.676625653401
481,9,6,76,84,68,0.547722557505166,0.894427190999916,1.26491106406735,5909,12355,7745,233.029611852228,167.011676238519,680.322497055624
482,10,5,76,86,80,1.04880884817015,1.54919333848297,0.948683298050514,6647,13576,6009,237.860253089918,235.443199094814,158.066125403263
483,9,8,66,85,79,1.14017542509914,0.894427190999916,0.894427190999916,9054,11037,5624,283.325431262356,207.923303167298,129.070523358356
484,11,10,81,83,70,0.836660026534076,1,0.774596669241483,11328,11170,3247,142.579802216162,370.390469639811,174.933701727254
485,12,12,79,75,66,0.836660026534076,0.632455532033676,0.547722557505166,13650,9455,2820,186.43685258017,121.016114629416,189.629639033565
486,10.5,13,81,74,67,0.948683298050514,0.948683298050514,0.447213595499958,15875,8877,5180,109.955445522266,104.203166938438,233.898696020307
487,9,13.5,83,79,67,0.707106781186548,1.18321595661992,0.948683298050514,16322,7667,6729,183.966029472835,175.448282978204,223.168098078556
488,7,13,78,71,83,1.14017542509914,0.632455532033676,0.894427190999916,14984,6223,9350,214.310522373494,189.925774975384,230.110190995532
489,3,18,78,65,89,0.894427190999916,0.948683298050514,1.14017542509914,19527,3484,16114,144.312854590296,121.767401220524,282.685691183689
