id,X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
495,5,19,79,65,87,0.774596669241483,0.894427190999916,1.37840487520902,20316,3869,16210,339.133601991899,252.822467356048,3172.46230868075
496,5,16,81,61,83,1.84390889145858,1.26491106406735,0.948683298050514,17351,2469,11616,253.937787656741,245.733595586765,210.124486911926
497,5,12,73,73,78,1.14017542509914,0.948683298050514,1,12734,5322,10765,210.608166983144,286.064678001322,171.110782827968
498,7,10,73,78,82,0.447213595499958,0.894427190999916,1.26491106406735,12048,7373,7756,384.207886436497,191.214539196161,244.893854557439
499,9,10,81,76,79,1.09544511501033,1.14017542509914,1.44913767461894,11623,9331,5707,193.552835163942,195.049480901642,293.608412686013
500,8,11,75,83,78,1.14017542509914,0.894427190999916,0.836660026534076,13991,6767,6876,456.180775570387,124.754959821243,195.797088844548
501,5,9,70,77,77,1,0.948683298050514,1.4142135623731,10134,7975,11359,181.130615854968,515.183268361852,251.020317902755
502,2,8,74,69,75,1.61245154965971,0.894427190999916,0.894427190999916,11078,7772,13148,170.443832390615,374.019117158468,250.707199737064
503,1,5,74,77,87,1.84390889145858,1.70293863659264,1.73205080756888,9879,10633,16100,340.888251484266,141.581778488618,987.281722711405
504,2,3,68,82,80,0.836660026534076,1.22474487139159,1.37840487520902,6755,14190,15285,176.093441104432,615.178266846286,221.21957417914
505,4,2,72,80,77,1.70293863659264,1.37840487520902,1.09544511501033,4596,14646,14144,191.051825429646,959.048538917609,745.943496519676
506,5,3,69,85,75,1.44913767461894,1.8165902124585,1.14017542509914,4566,13613,11659,283.582968458968,308.235948584846,402.940442249224
507,6.5,4,71,80,77,0.948683298050514,0.836660026534076,1.30384048104053,4461,12894,9760,295.527663679731,325.319996311324,187.421450213149
508,7,4,70,84,83,0.836660026534076,1.61245154965971,1.51657508881031,5194,13220,9723,283.801162788316,256.195433214568,248.754296445308
509,9,2,61,89,81,0.948683298050514,1.84390889145858,1.22474487139159,2040,17012,10365,336.253327121086,651.94769728867,283.998239431163
510,11,2,60,89,76,1.04880884817015,2.14476105895272,1.48323969741913,4234,17880,8324,184.397396944751,1090.48929384933,221.542772393956
511,12,3,68,91,76,1.67332005306815,1.67332005306815,1.37840487520902,4922,20183,7057,102.771104888485,1147.17810299883,211.098081469254
512,12,4,64,88,66,4.20713679359253,1.51657508881031,0.948683298050514,6336,17560,5567,287.629796787468,341.207854540308,146.063342423758
513,13,5,69,90,67,1.04880884817015,1.48323969741913,0.707106781186548,6514,15409,4505,216.038191068154,449.351198952445,224.456454574156
514,13,1,68,89,80,0.894427190999916,1.14017542509914,2,5833,19300,8843,205.33338744588,149.208243740083,160.848997510087
515,14,1,77,96,72,2.04939015319192,1.09544511501033,1.04880884817015,6425,20448,10162,137.025545063685,326.670323108788,717.305931942571
516,15,1,76,85,74,1.44913767461894,1.48323969741913,1.48323969741913,6691,24362,9843,273.895965651194,860.789811742681,230.337144203882
517,16,1,74,90,78,1,1.33333333333333,1.24721912892465,7442,22810,8319,308.601685024564,377.720649275214,215.457910300623
518,17,1,78,89,69,1.34164078649987,2.34520787991171,1.37840487520902,8632,23659,9141,352.80547047913,916.411206828026,211.592532949535
519,17,3,75,88,74,1.48323969741913,1,1.37840487520902,9933,20357,6905,263.625871264563,232.779079816035,225.383894721872
520,17,6,83,89,73,2.38746727726266,1.58113883008419,1.09544511501033,10388,18659,3665,337.960204757897,185.763290237872,234.317946389089
521,17.5,7,83,85,65,0.836660026534076,1.14017542509914,0.836660026534076,11709,18860,2889,157.725394277523,295.465903278196,169.79045909591
522,18,9,79,80,64,1.18321595661992,1.14017542509914,1.22474487139159,14484,16754,2214,390.60529950322,192.335904084495,287.085875653958
523,18,11,84,84,66,1.22474487139159,1.54919333848297,1.04880884817015,15463,17547,2279,570.425630560198,443.494757578937,208.880109153552
524,16,10.5,83,79,64,1.7606816861659,1.30384048104053,1.09544511501033,14247,14324,460,345.09897131113,133.309039453444,184.13934940691
525,16,11,84,82,69,1.26491106406735,1.09544511501033,0,13877,14402,2255,271.564172894732,164.074373379879,226.381757215549
526,12,9,73,89,67,0.836660026534076,1.26491106406735,1.22474487139159,11645,13259,1556,372.719331400989,252.505841516587,298.101995967823
527,11,8,74,87,60,0.836660026534076,1.09544511501033,1.14017542509914,9326,12134,3145,229.725923656866,442.044341667213,305.538704585851
528,10,7,74,86,65,0.547722557505166,0.948683298050514,0.836660026534076,8231,13840,4722,459.656393407075,501.302702964985,83.5942581760255
529,9,6,74,79,70,1.51657508881031,1.04880884817015,0.881917103688197,6533,15269,6944,79.3498582229357,639.460788477292,765.705484431768
530,10,5,73,85,71,1.04880884817015,1.54919333848297,1.30384048104053,6418,14537,5816,205.041703075252,368.646443086055,195.603169708469
531,9,8,83,82,70,3.54964786985977,1.14017542509914,1.67332005306815,10833,12470,5580,810.88735345916,435.251076965928,148.269686719842
532,11,10,75,88,72,1.09544511501033,1.4142135623731,1.94935886896179,12221,11504,3225,271.769203553309,582.372131888194,242.995678973927
533,12,12,82,79,71,1.26491106406735,3.43511280746353,1.04880884817015,13520,9802,2834,225.052660504158,294.248704330198,142.7686940474
534,10.5,13,84,74,71,1.26491106406735,1.04880884817015,2.14476105895272,14538,8464,5592,227.113407794432,160.914884333302,344.492670459039
535,9,13.5,83,68,71,1.54919333848297,0.894427190999916,2.70185121722126,15721,6838,7083,327.043880847815,238.338834435348,414.427195053607
536,7,13,77,77,79,1.37840487520902,1.8165902124585,1,15213,5089,9535,751.597631715268,527.02552120367,344.456092992997
537,3,18,84,67,88,1.26491106406735,2.07364413533277,1.4142135623731,19526,1416,16758,390.32089362472,194.918187966131,661.584083847246
538,3,16,79,67,86,1.6431676725155,0.948683298050514,1.67332005306815,18207,1340,16106,188.561395837006,336.976557048113,506.303466312448
539,1,11,71,68,87,0.894427190999916,1,0.894427190999916,14329,6622,16142,243.030039295557,179.797664056016,364.568649228098
